id,name,manhinh,cpu,ram,loaibonho,dungluongbonho,gpu,trongluong,gia,class
4352,ThinkPad X270,12.5,Intel Core i5 7200U 2.5GHz,8,SSD,256,Intel HD Graphics 620,1.36,1429,VanPhong
4594,Yoga 730,13.3,Intel Core i7 8550U 1.8GHz,8,SSD,512,Intel UHD Graphics 620,1.19,1499,VanPhong
4111,V110-15ISK (i5-6200U/4GB/128GB/W10),15.6,Intel Core i5 6200U 2.3GHz,4,SSD,128,Intel HD Graphics 520,2.1,493,VanPhong
4353,IdeaPad 320-15IAP,15.6,Intel Pentium Quad Core N4200 1.1GHz,4,SSD,128,Intel HD Graphics 505,2.2,349,VanPhong
4595,Alienware 15,15.6,Intel Core i7 7820HK 2.9GHz,16,SSD+HDD,1280,Nvidia GeForce GTX 1070,3.49,2813.75,ChuyenNghiep
5200,Inspiron 3567,15.6,Intel Core i3 7100U 2.4GHz,6,HDD,1024,Intel HD Graphics 620,2.3,459,PhoThong
4112,Aspire E5-576G,15.6,Intel Core i7 7500U 2.7GHz,8,HDD,1024,Nvidia GeForce 940MX,2.23,742,PhoThong
4354,Omen 15-AX205na,15.6,Intel Core i7 7700HQ 2.8GHz,8,SSD+HDD,1152,Nvidia GeForce GTX 1050,2.2,1099,ChuyenNghiep
4596,250 G6,15.6,Intel Core i5 7200U 2.5GHz,4,HDD,500,AMD Radeon 520,1.86,612.61,PhoThong
5201,Aspire ES1-531,15.6,Intel Celeron Dual Core N3060 1.6GHz,4,HDD,500,Intel HD Graphics 400,2.4,289,PhoThong
4113,Legion Y720-15IKB,15.6,Intel Core i7 7700HQ 2.8GHz,16,SSD+HDD,1536,Nvidia GeForce GTX 1060,3.2,1749,ChuyenNghiep
4355,Latitude 5480,14,Intel Core i5 7440HQ 2.8GHz,8,SSD,256,Nvidia GeForce 930MX,1.64,1179,VanPhong
4597,Inspiron 3567,15.6,Intel Core i3 6006U 2GHz,4,HDD,1024,AMD Radeon R5 M430,2.2,545.67,PhoThong
5202,Inspiron 3552,15.6,Intel Celeron Dual Core N3050 1.6GHz,2,HDD,500,Intel HD Graphics,2.2,379,PhoThong
4103,IdeaPad 320-17IKBR,17.3,Intel Core i5 8250U 1.6GHz,8,SSD,256,Nvidia GeForce MX150,2.8,698,VanPhong
4345,Rog Strix,17.3,AMD Ryzen 1600 3.2GHz,8,SSD+HDD,1280,AMD Radeon RX 580,3.2,1695,ChuyenNghiep
4587,Chromebook X360,11.6,Intel Celeron Dual Core N3350 1.1GHz,8,Flash Storage,64,Intel HD Graphics 500,1.4,495,PhoThong
4104,Inspiron 5379,13.3,Intel Core i7 8550U 1.8GHz,8,HDD,1024,Intel UHD Graphics 620,1.62,839,PhoThong
4346,15-ra044nv (N3060/4GB/500GB/W10),15.6,Intel Celeron Dual Core N3060 1.6GHz,4,HDD,500,Intel HD Graphics 400,2.1,347,PhoThong
4588,Gram 15Z975,15.6,Intel Core i7 8550U 1.8GHz,8,SSD,512,Intel HD Graphics 620,1.09,2299,VanPhong
4105,ProBook 470,17.3,Intel Core i5 8250U 1.6GHz,8,HDD,1024,Nvidia GeForce 930MX,2.5,914,PhoThong
4347,Pixelbook (Core,12.3,Intel Core i7 7Y75 1.3GHz,16,SSD,512,Intel HD Graphics 615,1.1,2199,VanPhong
4589,Aspire VX5-591G,15.6,Intel Core i5 7300HQ 2.5GHz,16,SSD,256,Nvidia GeForce GTX 1050 Ti,2.5,1299,VanPhong
4106,Blade Pro,17.3,Intel Core i7 7820HK 2.9GHz,32,SSD,1024,Nvidia GeForce GTX 1080,3.49,6099,ChuyenNghiep
4348,ThinkPad T470s,14,Intel Core i7 7500U 2.7GHz,24,SSD,512,Intel HD Graphics 620,1.32,2382,VanPhong
4107,ProBook 430,13.3,Intel Core i5 8250U 1.6GHz,8,SSD,512,Intel UHD Graphics 620,1.49,959,VanPhong
4349,VivoBook Max,15.6,Intel Core i5 7200U 2.5GHz,4,SSD,256,Intel HD Graphics 620,2,559,VanPhong
4108,Omen 17-W295,17.3,Intel Core i7 7700HQ 2.8GHz,16,SSD+HDD,1280,Nvidia GeForce GTX 1050,3.35,1379,ChuyenNghiep
4109,Probook 470,17.3,Intel Core i7 8550U 1.8GHz,8,SSD,256,Nvidia GeForce 930MX ,2.5,1045,VanPhong
4360,15-bs024nv (i5-7200U/8GB/128GB/W10),15.6,Intel Core i5 7200U 2.5GHz,8,SSD,128,Intel HD Graphics 620,1.91,589,VanPhong
4361,Precision 3520,15.6,Intel Core i7 6820HQ 2.7GHz,16,SSD,256,Nvidia Quadro M620,2.17,1975,ChuyenNghiep
4120,Aspire 7,15.6,Intel Core i7 7700HQ 2.8GHz,8,HDD,1024,Nvidia GeForce GTX 1050,2.4,779,PhoThong
4362,ProBook 650,15.6,Intel Core i7 7820HQ 2.9GHz,8,SSD,512,Intel HD Graphics 620,2.31,1534,VanPhong
4121,ROG GL703VD-GC028T,17.3,Intel Core i7 7700HQ 2.8GHz,16,SSD+HDD,1280,Nvidia GeForce GTX 1050,2.9,1407,ChuyenNghiep
4363,ThinkPad T470,14,Intel Core i5 7200U 2.5GHz,8,SSD,256,Intel HD Graphics 620,1.65,1345,VanPhong
5210,IdeaPad 100S-14IBR,14,Intel Celeron Dual Core N3050 1.6GHz,2,Flash Storage,64,Intel HD Graphics,1.5,229,PhoThong
4122,15-bs018nq (i3-6006U/4GB/500GB/FHD/No,15.6,Intel Core i3 6006U 2GHz,4,HDD,500,Intel HD Graphics 520,2.1,349,PhoThong
4364,Inspiron 5570,15.6,Intel Core i7 8550U 1.8GHz,8,SSD+HDD,1152,AMD Radeon 530,2.36,979,VanPhong
5211,15-AC110nv (i7-6500U/6GB/1TB/Radeon,15.6,Intel Core i7 6500U 2.5GHz,6,HDD,1024,AMD Radeon R5 M330,2.19,764,PhoThong
4123,IdeaPad 320-15IKBN,15.6,Intel Core i5 7200U 2.5GHz,8,SSD,256,Intel HD Graphics 620,2.2,549,VanPhong
4365,Inspiron 3168,11.6,Intel Pentium Quad Core N3710 1.6GHz,4,HDD,500,Intel HD Graphics 405,1.47,479,PhoThong
5212,X553SA-XX031T (N3050/4GB/500GB/W10),15.6,Intel Celeron Dual Core N3050 1.6GHz,4,HDD,500,Intel HD Graphics,2.2,369,PhoThong
4124,MateBook X,13,Intel Core i7 7500U 2.7GHz,8,SSD,512,Intel HD Graphics 620,1.05,1499,VanPhong
4366,Alienware 17,17.3,Intel Core i7 7700HQ 2.7GHz,8,HDD,1024,Nvidia GeForce GTX 1060,4.42,2046,ChuyenNghiep
4114,Precision 7520,15.6,Intel Xeon E3-1505M V6 3GHz,16,SSD+HDD,1280,Nvidia Quadro M1200,2.8,3055,ChuyenNghiep
4356,Aspire ES1-572,15.6,Intel Core i5 7200U 2.5GHz,4,HDD,500,Intel HD Graphics 620,2.4,441.8,PhoThong
4598,17-Y002nv (A10-9600P/6GB/2TB/Radeon,17.3,AMD A10-Series 9600P 2.4GHz,6,HDD,2048,AMD Radeon R7 M440,2.65,569,PhoThong
5203,IdeaPad Y700-15ISK,15.6,Intel Core i7 6700HQ 2.6GHz,8,HDD,1024,Nvidia GeForce GTX 960M,2.6,899,PhoThong
4115,Legion Y520-15IKBN,15.6,Intel Core i7 7700HQ 2.8GHz,16,SSD,512,Nvidia GeForce GTX 1060,2.4,1398,ChuyenNghiep
4357,Precision 3520,15.6,Intel Xeon E3-1505M V6 3GHz,8,SSD+HDD,1088,Nvidia Quadro M620,2.23,1993,ChuyenNghiep
4599,V110-15ISK (3855U/4GB/500GB/W10),15.6,Intel Celeron Dual Core 3855U 1.6GHz,4,HDD,500,Intel HD Graphics 510,2.1,318,PhoThong
5204,Pavilion 15-AW003nv,15.6,AMD A9-Series 9410 2.9GHz,6,Hybrid,1024,AMD Radeon R7 M440,2.04,549.99,PhoThong
4116,Inspiron 3567,15.6,Intel Core i3 7100U 2.4GHz,6,HDD,1024,Intel HD Graphics 620,2.3,439,PhoThong
4358,GV62 7RD-1686NL,15.6,Intel Core i5 7300HQ 2.5GHz,8,SSD,256,Nvidia GeForce GTX 1050,2.2,1027.74,ChuyenNghiep
5205,Inspiron 3567,15.6,Intel Core i7 7500U 2.7GHz,8,HDD,1024,AMD Radeon R5 M430,2.3,805.99,PhoThong
4117,XPS 13,13.3,Intel Core i7 8550U 1.8GHz,8,SSD,256,Intel UHD Graphics 620,1.21,1949,VanPhong
4359,Surface Laptop,13.5,Intel Core i7 7660U 2.5GHz,16,SSD,512,Intel Iris Plus Graphics 640,1.25,2589,VanPhong
5206,Stream 11-Y000na,11.6,Intel Celeron Dual Core N3060 1.6GHz,2,Flash Storage,32,Intel HD Graphics 400,1.17,209,PhoThong
4118,XPS 13,13.3,Intel Core i7 8550U 1.8GHz,8,SSD,256,Intel UHD Graphics 620,1.2,1449,VanPhong
5207,X556UJ-XO044T (i7-6500U/4GB/500GB/GeForce,15.6,Intel Core i7 6500U 2.5GHz,4,HDD,500,Nvidia GeForce 920M,2.2,720.32,PhoThong
4119,IdeaPad 320-15IKBN,15.6,Intel Core i5 7200U 2.5GHz,8,SSD,256,Intel HD Graphics 620,2.2,597,VanPhong
5208,Yoga 500-14ISK,14,Intel Core i7 6500U 2.5GHz,4,SSD,128,Intel HD Graphics 520,1.8,638,VanPhong
5209,Yoga 900-13ISK,13.3,Intel Core i7 6500U 2.5GHz,16,SSD,512,Intel HD Graphics 520,1.3,1499,VanPhong
