Brand,Model,Benchmark
Nvidia,GeForce 9800M-GS,3.17
AMD,Radeon HD 5500,3.15
Nvidia,Quadro 600,3.12
Nvidia,Quadro 1000M,3.1
AMD,Radeon HD 7610M,3.08
Intel, HD 610 (Desktop Kaby Lake),3.07
Nvidia,GeForce GT625M,3.06
AMD,Radeon HD 8510G,3.05
Nvidia,GeForce GT 435M,3.05
AMD,Radeon HD 7640G,3.03
Intel,HD 4400 (Desktop 1.15 GHz),2.97
Nvidia,GeForce GT 540M,2.94
Nvidia,NVS 5200M,2.91
Intel,HD 4000 (Mobile 1.25 GHz),2.87
Nvidia,Quadro FX 3600M,2.86
AMD,Radeon HD 8470D,2.84
AMD,Radeon HD 7600G,2.83
Intel,HD 510 (Desktop Skylake),2.79
AMD,Radeon HD 6620G,2.78
Intel,HD 4400 (Mobile 1.0/1.1 GHz),2.78
AMD,Radeon HD 7540D,2.75
Intel,Core M HD 5300,2.74
Nvidia,Quadro FX 1800M,2.73
Nvidia,Quadro FX 2700M,2.69
Nvidia,GeForce GT 335M,2.64
Nvidia,GeForce GT 425M,2.63
Nvidia,GeForce GT 525M,2.49
Nvidia,GeForce GT 130,2.49
AMD,Radeon HD 6530D,2.42
Nvidia,GeForce GT 420M,2.37
Nvidia,GeForce GT 220,2.35
Intel,UHD Graphics 605,2.31
Nvidia,GeForce GT 330M,2.31
AMD,Radeon HD 7520G,2.3
Nvidia,Quadro FX 880M,2.27
Nvidia,NVS 5100M,2.27
Nvidia,GeForce GT 620,2.25
AMD,Radeon HD 6520G,2.21
Nvidia,GeForce GT 240M,2.2
AMD,Radeon HD 7500G,2.14
Intel,HD 4200 (Mobile 0.85 GHz),2.12
Nvidia,GeForce 9700M GT,2.11
Nvidia,GeForce 8600 GTS,2.1
AMD,Radeon HD 8370D,2.05
AMD,Radeon  HD 6490M,2.05
Nvidia,GeForce GT 230M,2.01
Intel,HD 3000 (Desktop V2 1.35 GHz),2.01
AMD,Radeon HD 7480D,1.99
AMD,Radeon R5,1.99
Nvidia,GeForce GT 520MX,1.98
Nvidia,GeForce GT 130M,1.98
Nvidia,GeForce 610M,1.97
AMD,HD 7470,1.96
Nvidia,GeForce GT 705,1.95
Nvidia,GeForce 9500 GS,1.9
Nvidia,Quadro FX 770M,1.85
Nvidia,NVS 4200M,1.85
AMD,Radeon HD 7470M,1.83
Intel,HD Graphics (G4 Pentium/Celeron 1.05/1.15 GHz),1.82
Nvidia,GeForce GT 520,1.81
Nvidia,GeForce 9500 GT,1.8
Nvidia,GeForce GT 420,1.8
Nvidia,GeForce GT 520M,1.79
Nvidia,Quadro 400,1.78
Nvidia,GeForce GT 610,1.77
Nvidia,GeForce 9650M-GT,1.75
Intel,HD 3000 (Mobile V2 1.3 GHz),1.75
Nvidia,GeForce GT 220M,1.75
Nvidia,GeForce 320M,1.73
AMD,Radeon HD 6480G,1.72
Intel,UHD Graphics 600,1.71
AMD,Radeon R3 Graphics,1.71
Nvidia,Quadro FX 580,1.69
AMD,Radeon HD 7400M,1.68
Nvidia,GeForce 8600 GT,1.67
Nvidia,Quadro FX 1600M,1.67
Intel,HD 3000 (Desktop V1 1.1 GHz),1.67
Nvidia,GeForce 9600M-GT,1.66
AMD,Radeon HD 8400-R3,1.64
AMD,Radeon HD 6470M,1.63
AMD,Radeon HD 6450,1.6
AMD,Radeon HD 7450,1.6
Intel,HD 3000 (Mobile V1 1.1/1.2 GHz),1.56
AMD,Radeon HD 7400G,1.56
AMD,Radeon HD 6410D,1.55
Nvidia,GeForce 9600M-GS,1.53
Nvidia,Quadro NVS 320M,1.52
Intel,HD 2500 (Desktop 1.05 GHz),1.45
AMD,Radeon HD 8330,1.43
Nvidia,GeForce 410M,1.41
Nvidia,Quadro FX 570M,1.4
Nvidia,NVS 310,1.32
Intel,HD Graphics (G3 Pentium/Celeron 1.0/1.1 GHz),1.31
Nvidia,GeForce 7900 GTX,1.29
Nvidia,Quadro FX 1700,1.27
Nvidia,GeForce GT 320M,1.23
Nvidia,GeForce 8600M GT,1.23
AMD,HD 8240,1.22
Nvidia,GeForce GT 415M,1.21
AMD,Radeon HD 6370M,1.19
Nvidia,GeForce 9400 GT,1.12
AMD,Radeon HD 6300M,1.1
Nvidia,GeForce 310M,1.09
AMD,Radeon HD 7350,1.09
AMD,Radeon HD 6350,1.09
Nvidia,GeForce 315M,1.08
Nvidia,NVS 3100M,1.06
Nvidia,GeForce 310,1.05
Nvidia,GeForce G210M,1.03
AMD,Radeon HD 5450,1.02
Nvidia,Quadro FX 380,1.01
AMD,HD 8210,1
AMD,FirePro 2270,0.98
Nvidia,NVS 300,0.96
Intel,HD 2000 (Desktop 1.1 GHz),0.94
Nvidia,GeForce 7800 GTX,0.94
Nvidia,GeForce G210,0.92
Nvidia,GeForce 210,0.92
Nvidia,GeForce 305M,0.89
Nvidia,Quadro FX 4500,0.88
Nvidia,GeForce 7900 GS,0.87
AMD,Radeon HD 6320,0.87
AMD,Radeon HD 7340,0.87
Intel,HD Graphics (G2 Pentium/Celeron 1.1/1.15 GHz),0.84
Nvidia,Quadro FX 3500,0.83
Nvidia,GeForce 8500 GT,0.83
Nvidia,GeForce 8600M GS,0.82
Intel,HD Graphics (Clarkdale 0.733/0.9 GHz),0.8
Nvidia,GeForce 7800 GT,0.78
Intel,HD Graphics (Bay Trail 0.667 - 0.854 GHz),0.77
Nvidia,GeForce 9400M,0.75
Nvidia,Quadro FX 570,0.74
AMD,Radeon HD 7310,0.74
Nvidia,GeForce 8400M GT,0.74
AMD,Radeon HD 6310,0.73
Nvidia,GeForce G105M,0.72
Nvidia,ION,0.69
Nvidia,GeForce Go 7900,0.65
Nvidia,GeForce 7600 GT,0.64
Intel,HD Graphics (Arrandale 0.667/0.766 GHz),0.64
Nvidia,Quadro NVS 140M,0.59
Nvidia,GeForce 7800 GS,0.58
Nvidia,GeForce 8400 GS,0.58
Nvidia,Quadro NVS 290,0.58
AMD,Radeon HD 6290,0.57
Nvidia,GeForce 8400M GS,0.56
Nvidia,Quadro NVS 295,0.55
Nvidia,Quadro NVS 160M,0.55
Nvidia,GeForce 9300M GS,0.54
AMD,Radeon HD 6250M,0.53
Nvidia,Quadro NVS 450,0.52
AMD,Radeon HD 6250,0.52
Nvidia,GeForce 9200M GS,0.51
Intel,4 Series Internal Chipset,0.5
Nvidia,Quadro FX 1500,0.5
Intel,G45/G43 Express Chipset,0.49
Intel,Q45/Q43 Express Chipset,0.48
Nvidia,GeForce 9300 GS,0.47
Intel,G41 Express Chipset,0.47
AMD,Radeon X1650,0.45
Nvidia,GeForce 7600 GS,0.45
Nvidia,GeForce 8200,0.4
Nvidia,GeForce 6800,0.37
AMD,Radeon X1600,0.37
Intel,Mobile Series 4 Express Chipset Family,0.37
Nvidia,GeForce 8400M G,0.33
Nvidia,GeForce 6800 GS,0.33
Nvidia,Quadro NVS 135M,0.32
Intel,Graphics Media Accelerator 3150,0.32
Nvidia,Quadro FX 3450/4000 SDI,0.32
Nvidia,GeForce Go 7600,0.31
Nvidia,GeForce 7300 GT,0.3
Nvidia,GeForce 8200M G,0.3
Nvidia,GeForce 6600 GT,0.27
Nvidia,GeForce 6600,0.21
AMD,Radeon X1300,0.17
AMD,Radeon X1550,0.17
Nvidia,GeForce 7300 GS,0.17
Nvidia,GeForce Go 7400,0.15
Nvidia,GeForce 7300 LE,0.14
Nvidia,GeForce Go 7300,0.12
Nvidia,Quadro NVS 440,0.11
Nvidia,GeForce 7300 SE,0.08
Nvidia,GeForce 7100 GS,0.07
Nvidia,GeForce 7100 / nForce 630i,0.07
Nvidia,GeForce 6200,0.07
Nvidia,GeForce 6100,0.06
Nvidia,GeForce 7025 / nForce 630a,0.06
Nvidia,GeForce 6150,0.06
Nvidia,GeForce 6150SE nForce 430,0.06
Nvidia,GeForce 7150M / nForce 630M,0.05
